City,Date,cummulative confirmed cases,cummulative cured cases,cummulative dead cases,# of Total 1st Neighbors,# of Total 2nd Neighbors
Shenzhen,1/20/20,9,0,0,251,6981
Shenzhen,1/21/20,14,0,0,121,3359
Shenzhen,1/22/20,15,0,0,31,1103
Shenzhen,1/23/20,15,2,0,0,0
Shenzhen,1/24/20,20,2,0,131,4014
Shenzhen,1/25/20,27,2,0,254,8270
Shenzhen,1/26/20,36,2,0,327,10501
Shenzhen,1/27/20,49,3,0,431,13716
Shenzhen,1/28/20,63,3,0,370,15894
Shenzhen,1/29/20,86,4,0,695,22258
Shenzhen,1/30/20,110,4,0,814,21515
Shenzhen,1/31/20,170,4,0,1864,76811
Shenzhen,2/1/20,170,5,0,0,0
Shenzhen,2/2/20,207,5,0,1177,32347
Shenzhen,2/3/20,245,10,0,1318,36684
Shenzhen,2/4/20,271,13,0,857,31382
Shenzhen,2/5/20,291,16,0,588,17385
Shenzhen,2/6/20,316,22,0,671,20636
Shenzhen,2/7/20,339,31,0,746,21381
Shenzhen,2/8/20,354,39,0,514,17308
Shenzhen,2/9/20,366,46,0,460,13675
Shenzhen,2/10/20,369,56,0,88,3628
Shenzhen,2/11/20,375,66,0,160,4002
Shenzhen,2/12/20,386,82,0,350,13535
Shenzhen,2/13/20,391,94,0,184,5972
Shenzhen,2/14/20,400,104,0,300,9914
Shenzhen,2/15/20,406,115,0,196,5975
Shenzhen,2/16/20,414,131,0,246,5851
Shenzhen,2/17/20,415,152,2,29,825
Shenzhen,2/18/20,416,163,2,34,1029
Shenzhen,2/19/20,416,182,2,0,0
Shenzhen,2/20/20,416,199,2,0,0
Shenzhen,2/21/20,417,222,2,10,253
Shenzhen,2/22/20,417,226,3,0,0
Shenzhen,2/23/20,417,237,3,0,0
Shenzhen,2/24/20,417,249,3,0,0
Shenzhen,2/25/20,417,262,3,0,0
Shenzhen,2/26/20,417,271,3,0,0
Shenzhen,2/27/20,417,281,3,0,0
Shenzhen,2/28/20,417,281,3,0,0
Shenzhen,2/29/20,417,299,3,0,0
Shenzhen,3/1/20,417,308,3,0,0
Shenzhen,3/2/20,418,320,3,49,1130
Shenzhen,3/3/20,418,332,3,0,0
Shenzhen,3/4/20,418,341,3,0,0
Shenzhen,3/5/20,418,350,3,0,0
Shenzhen,3/6/20,419,358,3,25,568
Shenzhen,3/7/20,419,361,3,0,0
Shenzhen,3/8/20,419,368,3,0,0
Shenzhen,3/9/20,419,373,3,0,0
